0,Laptop,Asus Zenbook UX431DA,LBN0LP02950148C,Permanent Use,kian-ux431da,,,
1,Laptop,Asus Zenbook UX434FQ,L9N0CV176505398,Permanent Use,ihtezaz-ux434fq,,,
2,Laptop,Acer Swift 3,NXAB1EK008152060643400,Spare,sharpf-sf31443,,,
3,Laptop,Asus Zenbook UX431DA,LBN0LP02943948E,Spare,sharpf-sf431da,,,
4,Laptop,HP ENVY 17-ch0001na,8CG145B2WL,Permanent Use,ANGELA-ch001na,,,
5,Laptop,Asus Zenbook UX431DA,LBN0LPO2945148B,Permanent Use,CHARMAINE-UX431DA,,,
6,Laptop,Asus Zenbook UX431DA,LBN0LP02940748A,Permanent Use,DEANNA-UX431DA,,,
7,Laptop,Asus Vivobook 15 X515EA,N3N0CV055456101,Permanent Use,lee-x515ea,,,
8,Laptop,Apple Macbook Pro,G0GYWK0D63,Permanent Use,LEWIS-MacBookPro,,,
9,Desktop,Dell Optiplex 330,CQ67Y3J,Non-Bookable,PC1303,,,
10,Desktop,HP 260 G1 DM,4CH5140MSJ,Non-Bookable,PC1986,,,
11,Laptop,MSI GF63,9S716R512296ZL6000924,Permanent Use,SARAH-GF6310SC,,,
12,Laptop,Asus Vivobook 15 X515EA,N2N0CV11K98508B,Permanent Use,SARAHT-X515EA,,,
13,Laptop,Apple Macbook Pro,C02PD26GG3QD,Permanent Use,siani-macbookpro,,,
14,Laptop,Asus Vivobook 15 X515EA,N2N0CV11L023086,Spare,sharpf-x515ea,,,
15,Laptop,Apple Macbook Pro,C02PD26GG3QD,Broken,,,,
16,Laptop,Apple Macbook Pro,C02PD26UG3QD,Broken,,,,
17,Laptop,Dell Latitude E5450,FHNWR32,Not In Use,PC1953,,,
18,Laptop,Dell Latitude E6530,D6LB7W1,Not In Use,PC1678,,,
19,Laptop,Dell Latitude E6530,76LB7W1,Not In Use,PC1679,,,
20,Laptop,Lenovo Thinkpad 20b60065uk,PF00CFFV,Not In Use,PC1931,,,
21,Laptop,Asus Zenbook UX431DA,LBN0LP02958248F,Permanent Use,THALAYA-UX431DA,,,
22,Laptop,HP ENVY 17-ch0001na,8CG145B33S,Permanent Use,TOM-ch001na,,,
23,Laptop,Asus Aspire 5 A15-45,NXA81EK0092160CF637600,Permanent Use,VICTORIA-A51545,,,
24,Laptop,HP 15s-fq2037na,5CD224624W,Spare,ZENA-fq2037na,,,
